源文件,开始时间,结束时间,歌曲别名
ヴィラン-full-朝比奈 まふゆ+暁山 瑞希.mp3,32,77,villain
限りなく灰色へ-full-東雲 絵名+鏡音 リン+宵崎 奏+朝比奈 まふゆ+暁山 瑞希.mp3,60,120,向着无尽之灰
ビターチョコデコレーション-full-初音 ミク+宵崎 奏+朝比奈 まふゆ+東雲 絵名+暁山 瑞希.mp3,38,71,苦巧克力装饰
ベノム.mp3,50,86,猛毒
バグ-full-朝比奈 まふゆ+鏡音 レン+宵崎 奏+東雲 絵名+暁山 瑞希.mp3,42,70,bug
アイディスマイル-full-暁山 瑞希+MEIKO+宵崎 奏+朝比奈 まふゆ+東雲 絵名.mp3,32,61,ID smile
ザムザ-full-宵崎 奏+KAITO+朝比奈 まふゆ+東雲 絵名+暁山 瑞希.mp3,47,75,萨姆沙
フォニイ-full-MEIKO+宵崎 奏+朝比奈 まふゆ+東雲 絵名+暁山 瑞希.mp3,56,85,phony
ロウワー-full-暁山 瑞希+MEIKO+宵崎 奏+朝比奈 まふゆ+東雲 絵名.mp3,67,91,lower
Iなんです-full-東雲 絵名+初音 ミク+宵崎 奏+朝比奈 まふゆ+暁山 瑞希.mp3,41,60,就是I呀
心予報  MORE MORE JUMP  初音ミク.mp3,60,100,心予報
モア！ジャンプ！モア！-full-桃井 愛莉+初音 ミク+花里 みのり+桐谷 遥+日野森 雫 (1).mp3,36,92,more!jump!more!
天使のクローバー-full-花里 みのり+桐谷 遥+桃井 愛莉+日野森 雫+鏡音 リン.mp3,50,113,天使的幸运草
アイドル新鋭隊-full-花里 みのり+桐谷 遥+桃井 愛莉+日野森 雫+初音 ミク.mp3,65,99,偶像新锐队
イフ-full-桐谷 遥+初音 ミク+花里 みのり+桃井 愛莉+日野森 雫.mp3,45,95,if
リアライズ-full-小豆沢 こはね+初音 ミク+白石 杏+東雲 彰人+青柳 冬弥.mp3,45,80,realize
Flyer!-full-小豆沢 こはね+鏡音 レン+白石 杏+東雲 彰人+青柳 冬弥 (1).mp3,45,73,Flyer！
威風堂々-full-KAITO+東雲 彰人+青柳 冬弥.mp3,33,62,威风堂堂
悪魔の踊り方-full-鏡音 リン+小豆沢 こはね+白石 杏+東雲 彰人+青柳 冬弥.mp3,35,70,恶魔的舞蹈方式
Ready Steady-full-小豆沢 こはね+白石 杏+東雲 彰人+青柳 冬弥+初音 ミク.mp3,52,90,ready steady
drop pop candy-full-鏡音 リン+巡音 ルカ+小豆沢 こはね+白石 杏.mp3,47,83,drop pop candy
DAYBREAK FRONTLINE-full-初音 ミク+小豆沢 こはね+白石 杏+東雲 彰人+青柳 冬弥.mp3,52,78,黎明前线
星空のメロディー-full-草薙 寧々+MEIKO+天馬 司+鳳 えむ+神代 類.mp3,50,105,星空的旋律
